Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2017/12/27,22.3,22.3,22.3,22.3,22.3,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,23.361499999999985,0,0.43060701054431455,0.43060701054431455,0.43060701054431455,0.43060701054431455
2017/12/28,22.52,22.52,22.52,22.52,22.52,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,23.062499999999986,0,0.4368766030208036,0.4368766030208036,0.4368766030208036,0.4368766030208036
2017/12/29,21.79,21.79,21.79,21.79,21.79,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'falling three methods', 'spanning top']",None,,,,22.618999999999986,0,0.41607295525790816,0.41607295525790816,0.41607295525790816,0.41607295525790816
2018/1/2,20.47,20.47,20.47,20.47,20.47,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,22.267499999999984,0,0.378455400398974,0.378455400398974,0.378455400398974,0.378455400398974
2018/1/3,21.0,21.0,21.0,21.0,21.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,22.075999999999986,0,0.3935594186377885,0.3935594186377885,0.3935594186377885,0.3935594186377885
2018/1/4,20.93,20.93,20.93,20.93,20.93,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,21.925999999999984,0,0.3915645483043601,0.3915645483043601,0.3915645483043601,0.3915645483043601
2018/1/5,19.39,19.39,19.39,19.39,19.39,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,21.749499999999983,0,0.347677400968937,0.347677400968937,0.347677400968937,0.347677400968937
2018/1/8,19.0,19.0,19.0,19.0,19.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,21.645499999999984,0,0.3365631233969792,0.3365631233969792,0.3365631233969792,0.3365631233969792
2018/1/9,18.31,18.31,18.31,18.31,18.31,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,21.612499999999983,0,0.3168994015388999,0.3168994015388999,0.3168994015388999,0.3168994015388999
2018/1/10,18.31,18.31,18.31,18.31,18.31,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'piercing line', 'three black crows', 'shooting star', 'dark cloud cover', 'doji', 'falling three methods', 'spanning top', 'bearish harami', 'bullish harami']",None,,,,21.527999999999984,0,0.3168994015388999,0.3168994015388999,0.3168994015388999,0.3168994015388999
2018/1/11,17.8,17.8,17.8,17.8,17.8,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,21.386999999999983,0,0.3023653462524936,0.3023653462524936,0.3023653462524936,0.3023653462524936
2018/1/12,16.18,16.18,16.18,16.18,16.18,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,21.065499999999982,0,0.256198347107438,0.256198347107438,0.256198347107438,0.256198347107438
2018/1/15,17.0,17.0,17.0,17.0,17.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,20.755999999999982,0,0.2795668281561698,0.2795668281561698,0.2795668281561698,0.2795668281561698
2018/1/16,16.5,16.5,16.5,16.5,16.5,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,20.537499999999984,0,0.2653177543459675,0.2653177543459675,0.2653177543459675,0.2653177543459675
2018/1/17,17.8,17.8,17.8,17.8,17.8,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,20.427499999999984,0,0.3023653462524936,0.3023653462524936,0.3023653462524936,0.3023653462524936
2018/1/18,17.8,17.8,17.8,17.8,17.8,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'piercing line', 'three black crows', 'shooting star', 'dark cloud cover', 'rising three methods', 'doji', 'spanning top', 'bearish harami', 'bullish harami']",None,,,,20.275499999999987,0,0.3023653462524936,0.3023653462524936,0.3023653462524936,0.3023653462524936
2018/1/19,16.13,16.13,16.13,16.13,16.13,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,19.941999999999986,0,0.2547734397264177,0.2547734397264177,0.2547734397264177,0.2547734397264177
2018/1/22,17.77,17.77,17.77,17.77,17.77,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,19.581999999999983,0,0.3015104018238814,0.3015104018238814,0.3015104018238814,0.3015104018238814
2018/1/23,17.58,17.58,17.58,17.58,17.58,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,19.13699999999998,0,0.29609575377600444,0.29609575377600444,0.29609575377600444,0.29609575377600444
2018/1/24,19.2,19.2,19.2,19.2,19.2,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.888999999999978,0,0.34226275292106006,0.34226275292106006,0.34226275292106006,0.34226275292106006
2018/1/25,18.82,18.82,18.82,18.82,18.82,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.71499999999998,0,0.3314334568253063,0.3314334568253063,0.3314334568253063,0.3314334568253063
2018/1/26,19.2,19.2,19.2,19.2,19.2,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.548999999999978,0,0.34226275292106006,0.34226275292106006,0.34226275292106006,0.34226275292106006
2018/1/29,19.0,19.0,19.0,19.0,19.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.409499999999976,0,0.3365631233969792,0.3365631233969792,0.3365631233969792,0.3365631233969792
2018/1/30,20.56,20.56,20.56,20.56,20.56,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.413999999999977,0,0.38102023368481036,0.38102023368481036,0.38102023368481036,0.38102023368481036
2018/2/1,19.75,19.75,19.75,19.75,19.75,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.351499999999977,0,0.3579367341122826,0.3579367341122826,0.3579367341122826,0.3579367341122826
